mol,cs,logPa,T,dHv,logPa_25
OCCC(O)C,CC(O)CCO,4.493834322971856,445.334,77898.5390077222,-0.01661082125436586
OCCC(O)C,CC(O)CCO,4.586193335698542,451.293,77898.5390077222,-0.04489655237899903
OCCC(O)C,CC(O)CCO,4.675549222976128,457.269,77898.5390077222,-0.0733717028897658
OCCC(O)C,CC(O)CCO,4.762055553310996,463.265,77898.5390077222,-0.1020354993941126
OCCC(O)C,CC(O)CCO,4.845841907421757,469.281,77898.5390077222,-0.1308456313986106
OCCC(O)C,CC(O)CCO,4.927026281968983,475.319,77898.5390077222,-0.15980363107922813
OCCC(O)C,CC(O)CCO,5.005716612413731,481.38,77898.5390077222,-0.1888963677080877
OCCC(O)C,CC(O)CCO,5.082030981267012,487.464,77898.5390077222,-0.21807850722402833
OCCC(O)C,CC(O)CCO,5.156094630639427,493.575,77898.5390077222,-0.2473614243853257
OCCC(O)C,CC(O)CCO,5.227938097369417,499.706,77898.5390077222,-0.2766626432899999
OCCC(O)C,CC(O)CCO,5.297738631732803,505.869,77898.5390077222,-0.3060637846484635
OCCC(O)C,CC(O)CCO,5.3655254224567095,512.054,77898.5390077222,-0.3354320363153498
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.779891911959945,313.15,105999.99999999996,-2.6694207927839315
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.5934598195660448,316.15,105999.99999999996,-2.6507654113295667
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.4634415574284698,318.15,105999.99999999996,-2.630840453253421
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.3979400086720375,319.15,105999.99999999996,-2.619868119723404
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.3545777306509081,320.15,105999.99999999996,-2.630694409012235
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.3027706572402824,321.15,105999.99999999996,-2.6327384371335247
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.2335871528876006,322.15,105999.99999999996,-2.617071711161851
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.1636758842932484,323.15,105999.99999999996,-2.60034600152483
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.133712660915805,324.15,105999.99999999996,-2.6232401831083716
