ikey,raw_mean,raw_median,n_obs,homoset_Ladaptive_t2.0,homoset_Ladaptive_t1.0,homoset_Lfixed_t2.0,homoset_Lfixed_t1.0,conflict,n_sources,n_accepted_sources,fell_back_raw,mixle_gauss,mixle_gauss_sd,mixle_robust,mixle_robust_sd,min_obs_weight
OTUAOAXZQMCAFS-UHFFFAOYSA-N,-10.145302387356171,-10.145302387356171,2,-10.247306333968798,-10.247306333968798,-10.145302387356171,-10.145302387356171,False,2,2,False,-10.179405008952603,0.9989588786409557,-10.201529252785713,0.3300833433390161,1.0
OUNSASXJZHBGAI-UHFFFAOYSA-N,-4.107655426073536,-4.107655426073536,1,-4.309157877084403,-4.309157877084403,-4.107655426073536,-4.107655426073536,False,1,1,False,-5.212947330804498,2.338096976739336,-4.698004640341948,1.1500220107319952,1.0
OVBFMEVBMNZIBR-UHFFFAOYSA-N,-5.526786434078526,-5.526786434078526,2,-5.529291876292909,-5.529291876292909,-5.526786434078526,-5.526786434078526,False,1,1,False,-5.790844278229097,0.7667002409729788,-5.614995338525094,0.24710388951271292,1.0
OVSKIKFHRZPJSS-UHFFFAOYSA-N,-5.439649035592775,-4.9848300646894055,5,-4.987335506903788,-4.987335506903788,-4.9848300646894055,-4.9848300646894055,True,2,2,False,-6.862563917770454,0.5376371592020696,-4.920365815163602,0.302404012244309,0.01997572676654665
OVWYEQOVUDKZNU-UHFFFAOYSA-N,-5.648622109409221,-4.491474264191976,5,-4.493979706406359,-4.493979706406359,-4.491474264191976,-4.491474264191976,True,1,1,False,-5.929986604779179,0.4903697138871467,-4.448613608499933,0.18054969933862697,0.01671630301002402
OWDLFBLNMPCXSD-UHFFFAOYSA-N,-9.91416775882999,-9.91416775882999,2,-10.016171705442616,-10.016171705442616,-9.91416775882999,-9.91416775882999,False,2,2,False,-10.376989038049922,0.9989588786409557,-10.474259993253323,0.33160660231763733,1.0
OWNRRUFOJXFKCU-UHFFFAOYSA-N,-4.210338366969982,-4.210338366969982,2,-4.312342313582607,-4.312342313582607,-4.210338366969982,-4.210338366969982,True,2,2,False,-8.86239252789852,0.9989588786409557,-10.256412739400748,0.3441988903711498,0.06404311262338043
OWWIWYDDISJUMY-UHFFFAOYSA-N,2.0286795468282164,2.0286795468282164,1,1.8271770958173488,1.8271770958173488,2.0286795468282164,2.0286795468282164,False,1,1,False,-1.1851088828006249,2.338096976739336,0.9735239861456765,1.1660570892171358,1.0
OWYWGLHRNBIFJP-UHFFFAOYSA-N,-8.757885433740261,-8.757885433740261,1,-8.959387884751129,-8.959387884751129,-8.757885433740261,-8.757885433740261,False,1,1,False,-8.265319031445895,2.338096976739336,-9.000302685236711,1.1589615269286466,1.0
OWZPCEFYPSAJFR-UHFFFAOYSA-N,-5.922196001217596,-6.332466626241704,3,-6.431205166589858,-6.431205166589858,-6.332466626241704,-6.332466626241704,False,2,2,False,-6.0797893466390365,0.7409958743451516,-6.113300414214234,0.31037587809340644,0.45509781326148097
OWZREIFADZCYQD-NSHGMRRFSA-N,-5.85985753201034,-5.85985753201034,2,-5.961861478622964,-5.961861478622964,-5.85985753201034,-5.85985753201034,False,2,2,False,-6.768237671094734,0.9989588786409557,-6.684416883561986,0.3333051805282977,1.0
OXHNLMTVIGZXSG-UHFFFAOYSA-N,-2.8821738736238958,-2.890984703632887,4,-2.8966870895955044,-2.8966870895955044,-2.890984703632887,-2.890984703632887,False,3,3,False,-2.907343872588852,0.176892133922043,-2.8915015143209737,0.019966991970523047,1.0
OXMIDRBAFOEOQT-UHFFFAOYSA-N,-2.921567740505755,-2.92,7,-2.9206500956022943,-2.9206500956022943,-2.920325047801147,-2.920325047801147,False,3,3,False,-2.926944330205311,0.12373620913863909,-2.9220157362609336,0.01155933778304361,1.0
OXNIZHLAWKMVMX-UHFFFAOYSA-N,-12.493913626949425,-12.493913626949425,1,-12.496419069163808,-12.496419069163808,-12.493913626949425,-12.493913626949425,False,1,1,False,-12.231380189563163,1.064785492392406,-12.533658008729686,0.34356039146626316,1.0
