ikey,dHvap_kJmol
AZFVLHQDIIJLJG-UHFFFAOYSA-N,27.624231830340232
AZLAWGCUDHUQDB-UHFFFAOYSA-N,47.29999999999999
AZLNHMGSTZDDIY-UHFFFAOYSA-N,113.04230143177604
AZQWKYJCGOJGHM-UHFFFAOYSA-N,54.20458284330821
AZSZCFSOHXEJQE-UHFFFAOYSA-N,25.58248764007311
AZVSIHIBYRHSLB-UHFFFAOYSA-N,48.1
BAUWRHPMUVYFOD-UHFFFAOYSA-N,80.80000000000003
BAUZLFKYYIVGPM-UHFFFAOYSA-N,53.09999999999999
BAYAKMPRFGNNFW-UHFFFAOYSA-N,51.96291999845795
BBEAQIROQSPTKN-UHFFFAOYSA-N,89.80000000000003
BBMCTIGTTCKYKF-UHFFFAOYSA-N,67.43685000840384
BBVQDWDBTWSGHQ-UHFFFAOYSA-N,56.3
BBXDSCHJVVIYFF-UHFFFAOYSA-N,43.99999999999999
BCHGIXRCMJWXGE-UHFFFAOYSA-N,60.3
BCJWVBNBMCOBEX-UHFFFAOYSA-N,53.599999999999994
BCNXQFASJTYKDJ-UHFFFAOYSA-N,30.699999999999996
BCQZXOMGPXTTIC-UHFFFAOYSA-N,29.4596553376281
BCWYKEQUGMQGAP-UHFFFAOYSA-N,208.24791169115656
BDAGIHXWWSANSR-UHFFFAOYSA-N,44.78213145469464
BDBGKYIBDXAVMX-UHFFFAOYSA-N,46.524516534676856
BDCFWIDZNLCTMF-UHFFFAOYSA-N,60.91478276069404
BDERNNFJNOPAEC-UHFFFAOYSA-N,46.145774695349935
BDFAOUQQXJIZDG-UHFFFAOYSA-N,36.4893604895517
BDFDQOJJDDORSR-UHFFFAOYSA-N,41.8
BDGQTWOHKASHQU-UHFFFAOYSA-N,88.71382993992802
BDJAEZRIGNCQBZ-UHFFFAOYSA-N,25.68417907542709
BDJRBEYXGGNYIS-UHFFFAOYSA-N,128.93925962686313
BDVKAMAALQXGLM-UHFFFAOYSA-N,56.7
BDWBGSCECOPTTH-UHFFFAOYSA-N,311.70611729651625
BDXAHSJUDUZLDU-UHFFFAOYSA-N,109.50000000000004
BDZBKCUKTQZUTL-UHFFFAOYSA-N,53.00000000000001
BEOUGZFCUMNGOU-UHFFFAOYSA-N,168.84304821816457
BEPAFCGSDWSTEL-UHFFFAOYSA-N,55.83379862853114
BEQGRRJLJLVQAQ-UHFFFAOYSA-N,31.50573118045035
BFCFYVKQTRLZHA-UHFFFAOYSA-N,60.39999999999997
BFGOGLKYJXQPJZ-UHFFFAOYSA-N,38.66194279801191
BFIMMTCNYPIMRN-UHFFFAOYSA-N,53.69999999999998
BFLXFRNPNMTTAA-UHFFFAOYSA-N,39.80896068095224
BFSVOASYOCHEOV-UHFFFAOYSA-N,55.50000000000001
BFUITLGNKICXGA-UHFFFAOYSA-N,39.04228628465948
BGBUNTANUVVMIQ-UHFFFAOYSA-N,243.23685840075973
BGEHHAVMRVXCGR-UHFFFAOYSA-N,76.52408668846107
BGHCVCJVXZWKCC-UHFFFAOYSA-N,75.63271242681482
BGKYLPDRHHSYFV-UHFFFAOYSA-N,183.51027666137188
BGQBONSBNSNYIO-UHFFFAOYSA-N,38.099999999999994
BGTBFNDXYDYBEY-UHFFFAOYSA-N,61.91426726736596
BGTOWKSIORTVQH-UHFFFAOYSA-N,41.986598198404224
BGVGHYOIWIALFF-UHFFFAOYSA-N,38.099999999999994
BGXXXYLRPIRDHJ-UHFFFAOYSA-N,43.099999999999994
BHAHVSKDYRPNIR-UHFFFAOYSA-N,59.3
BHGNYYIOYPFWKC-UHFFFAOYSA-N,45.99999999999999
BHHGXPLMPWCGHP-UHFFFAOYSA-N,56.8
BHIWKHZACMWKOJ-UHFFFAOYSA-N,37.572927003816304
BHPXLRFSKUSDNN-UHFFFAOYSA-N,39.29999999999999
BHRZNVHARXXAHW-UHFFFAOYSA-N,33.795484834163744
BHVGMUDWABJNRC-UHFFFAOYSA-N,45.50883600602873
BIDIHFPLDRSAMB-UHFFFAOYSA-N,32.49979023795649
BIFPSSTVLFHHEI-UHFFFAOYSA-N,49.94399921557197
BIPUHAHGLJKIPK-UHFFFAOYSA-N,53.69999999999998
BITHHVVYSMSWAG-UHFFFAOYSA-N,168.73459978601736
BJIOGJUNALELMI-UHFFFAOYSA-N,52.67959391863218
BJQHLKABXJIVAM-UHFFFAOYSA-N,146.59787130023193
BJQWYEJQWHSSCJ-UHFFFAOYSA-N,155.72678093447615
BKCNDTDWDGQHSD-UHFFFAOYSA-N,52.899999999999984
BKFRZOZNMWIFLH-UHFFFAOYSA-N,91.8
BKIMMITUMNQMOS-UHFFFAOYSA-N,46.04765972942431
BKMHDXMAZYSQLJ-UHFFFAOYSA-N,34.19246408137998
BKOOMYPCSUNDGP-UHFFFAOYSA-N,27.878195110605496
BKWAKIYRJHHRFD-UHFFFAOYSA-N,98.49999999999996
BKZXZGWHTRCFPX-UHFFFAOYSA-N,63.89789274668375
BLBRFFGNEDJWMZ-UHFFFAOYSA-N,69.79999999999997
BLJFSPZWKBTYHR-UHFFFAOYSA-N,87.79999999999998
BLNBSBLKPFFJKQ-UHFFFAOYSA-N,46.36691409016696
BLRBGKYYWDBAQQ-UHFFFAOYSA-N,89.20000000000002
BLRHMMGNCXNXJL-UHFFFAOYSA-N,62.49999999999999
BLTRSYBDPNEMNK-UHFFFAOYSA-N,50.0
BLTXWCKMNMYXEA-UHFFFAOYSA-N,20.300000000000004
BLUYLIWVPLGBFN-UHFFFAOYSA-N,154.46646807414953
BLXSFCHWMBESKV-UHFFFAOYSA-N,44.9
BMFVGAAISNGQNM-UHFFFAOYSA-N,44.72868596664195
BMGNRHCFIPQPPS-UHFFFAOYSA-N,47.6
BMRWNKZVCUKKSR-UHFFFAOYSA-N,71.79999999999998
BMVXCPBXGZKUPN-UHFFFAOYSA-N,45.099999999999994
BNBQRQQYDMDJAH-UHFFFAOYSA-N,67.40000000000002
BNORDZYQJMGMRG-UHFFFAOYSA-N,127.7315186154572
BNWJOHGLIBDBOB-UHFFFAOYSA-N,61.73138305481327
BNYIYJWHXMAEIE-UHFFFAOYSA-N,39.099999999999994
BODRLKRKPXBDBN-UHFFFAOYSA-N,66.65438279134685
BOFLDKIFLIFLJA-UHFFFAOYSA-N,26.1533318948321
BOFNAOHMSHEKQL-UHFFFAOYSA-N,60.80000000000002
BOGRNZQRTNVZCZ-UHFFFAOYSA-N,36.85642841185846
BOPVNOMJIDZBQB-UHFFFAOYSA-N,38.099999999999994
BOSAWIQFTJIYIS-UHFFFAOYSA-N,28.7
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,69.72068268506911
BPBOWYWUOUJKLO-UHFFFAOYSA-N,42.0
BPFBNAXGHSFGDC-UHFFFAOYSA-N,61.62210905191744
BPGDAMSIGCZZLK-UHFFFAOYSA-N,56.40000000000001
BPIUIOXAFBGMNB-UHFFFAOYSA-N,63.70000000000001
BPRYUXCVCCNUFE-UHFFFAOYSA-N,68.06082523696153
BQMPGKPTOHKYHS-UHFFFAOYSA-N,65.29999999999998
BQNSLJQRJAJITR-UHFFFAOYSA-N,32.91559845691671
BQOFWKZOCNGFEC-UHFFFAOYSA-N,48.7748714845455
BRGJIIMZXMWMCC-UHFFFAOYSA-N,96.37525618774345
BRRVXFOKWJKTGG-UHFFFAOYSA-N,59.404941301732464
BRYMKDNCWBMHIF-UHFFFAOYSA-N,47.919810476522045
BSAIUMLZVGUGKX-UHFFFAOYSA-N,59.43197358684164
BSBXLZYWGGAVHD-UHFFFAOYSA-N,84.3
BSJLVCZFMFSRDY-UHFFFAOYSA-N,79.22056594074448
BSKHPKMHTQYZBB-UHFFFAOYSA-N,42.233835370434775
BSKOLJVTLRLTHE-UHFFFAOYSA-N,39.50790659337468
BSMKYQUHXQAVKG-UHFFFAOYSA-N,65.6
BSPCSKHALVHRSR-UHFFFAOYSA-N,31.448251194303552
BSQKBHXYEKVKMN-UHFFFAOYSA-N,56.19999999999998
BSRTYNDWQXVCKR-UHFFFAOYSA-N,35.95286050733157
BSULWPSUVMOMAN-UHFFFAOYSA-N,62.2
BSYQUYXSAFIGLB-UHFFFAOYSA-N,57.89999999999998
BSZXAFXFTLXUFV-UHFFFAOYSA-N,68.89999999999998
BTANRVKWQNVYAZ-UHFFFAOYSA-N,49.06641882136533
BTFJIXJJCSYFAL-UHFFFAOYSA-N,134.83507481314527
BTFQKIATRPGRBS-UHFFFAOYSA-N,60.56559572370009
BTGGSWBKRYMHQK-UHFFFAOYSA-N,47.7
BTKXLQSCEOHKTF-UHFFFAOYSA-N,98.604717562114
BTLSLHNLDQCWKS-UHFFFAOYSA-N,53.3
BTMVHUNTONAYDX-UHFFFAOYSA-N,47.60586585732597
BTSIZIIPFNVMHF-UHFFFAOYSA-N,56.82937906275081
BTUGGGLMQBJCBN-UHFFFAOYSA-N,38.79999999999999
BTWSHSRQUSIAIC-UHFFFAOYSA-N,77.56086304855417
BTXIJTYYMLCUHI-UHFFFAOYSA-N,43.70000000000001
BUAGRGPXYOEKCF-UHFFFAOYSA-N,31.436109245437617
BUHXFUSLEBPCEB-UHFFFAOYSA-N,152.6304452182414
BULSZWSBNUDENZ-UHFFFAOYSA-N,103.3639476478683
BULVZWIRKLYCBC-UHFFFAOYSA-N,70.79999999999997
BUZYGTVTZYSBCU-UHFFFAOYSA-N,63.09999999999997
BUZZUHJODKQYTF-UHFFFAOYSA-N,42.7
BVAKDOXCVSMKHE-UHFFFAOYSA-N,42.60000000000001
BVALZCVRLDMXOQ-UHFFFAOYSA-N,50.70000000000001
BVCMEVKMWDECGG-UHFFFAOYSA-N,121.21829649985575
BVGOHNFOXOLDAO-UHFFFAOYSA-N,76.28270728987901
BVKCQBBZBGYNOP-UHFFFAOYSA-N,192.60000000000008
BVOSSZSHBZQJOI-UHFFFAOYSA-N,43.52540153989953
